zone_residence,zone_workplace,mode,residence,workplace,number,distance,time
bristol,bristol,driving,E02003030,E02003062,5,20637,2030
bristol,other,driving,E02003027,E02004609,2,7078,974
bristol,other,driving,E02003029,E02006665,1,10337,1253
bristol,other,driving,E02003028,E02003223,4,4636,642
bristol,other,passenger,E02003027,E02003096,1,4662,761
bristol,other,driving,E02003029,E02004277,1,10704,1564
bristol,other,driving,E02003030,E02003102,2,11780,1440
bristol,other,passenger,E02003030,E02003102,1,11780,1440
bristol,other,passenger,E02003028,E02004609,1,5571,697
bristol,other,driving,E02003028,E02004655,4,3089,467
bristol,taunton,driving,E02003027,E02006109,1,3064,447
bristol,other,driving,E02003033,E02003102,1,14542,1773
bristol,other,driving,E02003031,E02004655,1,4147,649
bristol,other,driving,E02003029,E02003002,1,15185,1553
bristol,bristol,driving,E02003032,E02003048,1,23641,2261
bristol,bristol,driving,E02003029,E02003044,3,8560,1291
bristol,other,driving,E02003030,E02006665,2,6509,1002
bristol,other,driving,E02003031,E02003002,6,19523,2090
bristol,other,driving,E02003022,E02002995,1,3134,496
bristol,other,driving,E02003031,E02002995,1,3550,581
bristol,other,driving,E02003022,E02004637,3,2414,410
bristol,other,driving,E02003026,E02006060,1,4070,638
bristol,other,driving,E02003022,E02003002,2,21513,2351
bristol,other,driving,E02003027,E02004655,3,2101,373
bristol,taunton,driving,E02003027,E02006104,3,2158,411
bristol,other,driving,E02003022,E02003223,1,3909,585
bristol,other,driving,E02003028,E02006060,1,2035,340
bristol,bristol,driving,E02003031,E02003048,5,23281,2540
bristol,other,driving,E02003021,E02003073,1,3693,586
bristol,other,driving,E02003021,E02003001,1,2022,416
bristol,other,driving,E02003028,E02003073,1,6173,942
bristol,bristol,driving,E02003029,E02003048,2,23874,2271
bristol,other,driving,E02003025,E02002995,1,2383,394
bristol,other,driving,E02003024,E02000001,1,0,0
bristol,other,driving,E02003025,E02003000,3,0,0
bristol,other,passenger,E02003025,E02003000,1,0,0
bristol,other,driving,E02003021,E02004637,1,3798,623
bristol,other,driving,E02003023,E02004655,2,5565,885
bristol,other,driving,E02003024,E02003102,3,14195,1329
