zone_residence,zone_workplace,mode,number,distance,time
taunton,wellington,motorcycle,21,0,0
wellington,exeter,motorcycle,1,0,0
tiverton,bristol,motorcycle,0,0,0
cullompton,taunton,motorcycle,0,0,0
taunton,bridgwater,motorcycle,7,0,0
exeter,exeter,motorcycle,528,0,0
exeter,tiverton,motorcycle,2,0,0
bristol,bridgwater,motorcycle,1,0,0
wellington,wellington,foot,948,0,0
highbridge_and_burnham,highbridge_and_burnham,foot,802,0,0
tiverton,tiverton,foot,1549,0,0
weston-super-mare,weston-super-mare,foot,3313,0,0
taunton,taunton,foot,5483,0,0
cullompton,cullompton,foot,390,0,0
exeter,exeter,foot,11633,0,0
bridgwater,bridgwater,foot,1558,0,0
bristol,bristol,foot,34662,0,0
wellington,tiverton,foot,5,23032,18987
wellington,taunton,foot,77,9529,7652
highbridge_and_burnham,weston-super-mare,foot,3,16689,13590
weston-super-mare,highbridge_and_burnham,foot,7,16689,13582
tiverton,wellington,foot,2,23032,18910
cullompton,tiverton,foot,10,9957,8776
tiverton,cullompton,foot,14,9957,8387
wellington,cullompton,foot,1,20935,17140
exeter,cullompton,foot,5,20222,16792
cullompton,wellington,foot,1,20935,17084
exeter,tiverton,foot,7,23022,19184
bridgwater,wellington,foot,2,26150,21476
highbridge_and_burnham,bridgwater,foot,34,13259,10784
taunton,bridgwater,foot,10,17130,13960
bridgwater,highbridge_and_burnham,foot,27,13261,10768
exeter,wellington,foot,0,40519,33377
wellington,bridgwater,foot,1,26150,21204
tiverton,taunton,foot,1,32413,26466
taunton,wellington,foot,39,9529,7871
weston-super-mare,bridgwater,foot,3,28722,23416
cullompton,exeter,foot,10,20222,16812
bridgwater,taunton,foot,35,17130,14013
taunton,highbridge_and_burnham,foot,2,30080,24455
taunton,cullompton,foot,0,29998,24631
weston-super-mare,taunton,foot,1,45543,37162
tiverton,exeter,foot,27,23035,18994
highbridge_and_burnham,taunton,foot,5,30080,24530
taunton,exeter,foot,6,49582,40946
highbridge_and_burnham,tiverton,foot,0,61984,50888
wellington,highbridge_and_burnham,foot,0,39100,31699
bridgwater,weston-super-mare,foot,5,28724,23400
taunton,tiverton,foot,2,32413,26767
highbridge_and_burnham,cullompton,foot,0,59569,48752
exeter,taunton,foot,9,49582,40646
bridgwater,cullompton,foot,0,46619,38235
highbridge_and_burnham,bristol,foot,1,43712,35813
